Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,0.1uF,C2180991
C2,C_Elec_4x5.4,1,1uF,     C3348
"D1, D2, D3, D4, D5, D6",LED_PLCC_2835_Handsoldering,6,LED,C5221242
"D7, D9",D_PowerDI-123,2,LED driver,C2678547
D8,D_SMA_Handsoldering,1,D_Schottky,C2481
"J1, J2",IDC-Header_2x15_P2.54mm_Horizontal,2,Conn_02x15_Odd_Even,
M1,Vybronics_VZ7AL2B1692612,1,Motor_DC,
"Q1, Q2",SOT-89-3,2,ZXMN6A11Z,C2923352
R1,2010,1,240,C20389
R2,2010,1,392,C230627
"R3, R4",2010,2,10k,
"R5, R6",2010,2,220,C20389
SW1,SW_DIP_SPSTx12_Slide_6.7x32.04mm_W6.73mm_P2.54mm_LowProfile_JPin,1,LED Channel selector,
SW2,SW_DIP_SPSTx12_Slide_6.7x32.04mm_W6.73mm_P2.54mm_LowProfile_JPin,1,Motor channel selector,
U1,SOT-223-3_TabPin2,1,LM317_SOT-223,C51466
