Designator,Mid X,Mid Y,Rotation,Layer
C1,84.5,-139.25,180.0,top
C2,91.0,-127.0,270.0,top
D1,55.1,-114.5,180.0,top
D2,104.5,-114.5,180.0,top
D3,54.95,-143.25,180.0,top
D4,104.525,-143.25,180.0,top
D5,55.0,-172.0,180.0,top
D6,104.5,-172.0,180.0,top
D9,66.5,-136.5,180.0,top
J1,111.48,-142.78,180.0,bottom
J2,48.02,-142.78,0.0,bottom
M1,77.5,-146.25,90.0,bottom
Q1,104.5,-166.5,90.0,top
Q2,71.0,-126.0,270.0,top
R1,98.0,-166.75,270.0,top
R2,97.8,-174.4,270.0,top
R3,81.0,-134.0,180.0,top
R4,88.9,-134.0,0.0,top
R5,101.0,-109.4,90.0,top
R6,107.25,-109.0,180.0,top
SW1,79.374613,-174.305,270.0,top
SW2,81.584613,-112.555,90.0,top
U1,84.0,-127.75,0.0,top
U2,112.574613,-168.75,0.0,top
U3,112.599613,-172.0,0.0,top
