Designator,Mid X,Mid Y,Rotation,Layer
C1,178.2,-155.5,180.0,top
C3,132.1,-148.75,270.0,top
C4,145.35,-154.425,90.0,top
C5,150.2,-87.85,180.0,top
C6,151.0,-122.75,180.0,top
C7,160.3,-139.5625,270.0,top
C8,154.3,-144.5,90.0,top
CON1,122.15,-81.375,270.0,top
D1,152.6,-76.0,180.0,top
D3,190.8,-141.3,270.0,top
J14,121.37,-111.05,0.0,bottom
J3,193.23,-111.0,180.0,bottom
J4,121.1775,-149.5,0.0,bottom
L2,179.25,-141.5,180.0,top
R1,145.1,-76.0,180.0,top
R10,134.5,-80.95,0.0,top
R11,134.45,-77.4,0.0,top
R12,148.8,-80.9,180.0,top
R13,150.1,-128.75,90.0,top
R14,134.0,-124.0,0.0,top
R15,136.4,-118.65,180.0,top
R16,136.4,-115.15,180.0,top
R17,136.4,-111.65,180.0,top
R18,146.4,-118.55,180.0,top
R19,153.3,-118.55,180.0,top
R2,145.1,-148.0,0.0,top
R20,146.4,-115.15,180.0,top
R21,153.5,-128.75,90.0,top
R22,168.3,-139.5625,270.0,top
R23,164.3,-139.5625,90.0,top
R3,145.1,-144.0,180.0,top
R4,151.05,-90.8,0.0,top
R5,151.05,-94.15,0.0,top
R6,148.9,-84.55,180.0,top
R7,141.85,-84.55,180.0,top
R8,141.8,-80.9,180.0,top
R9,134.5,-84.55,0.0,top
U2,164.9,-155.15,270.0,top
U3,137.35,-150.75,90.0,top
U4,172.2,-98.64,180.0,top
U5,142.4375,-92.475,270.0,top
U6,142.42288,-128.564,270.0,top
