Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C13",1206,2,1.5nF,C161482
"C11, C14",C_Elec_6.3x5.4,2,100µF,C7469933
"C12, C9",C_Elec_10x10.2,2,680µF,C134782
C5,1206,1,0.1uF,C2180991
C6,C_Elec_4x5.4,1,1uF,C3348
"D1, D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",LED_Inolux_IN-P55TATRGB_PLCC6_5.0x5.5mm_P1.8mm,12,Inolux_IN-P55TATRGB,C1322334
"D13, D14, D15, D16, D17, D18, D19, D20, D21, D22, D23, D24",LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,12,LED,C329184
"D25, D26",D_SMB_Handsoldering,2,Schottky 5A,C14651
J1,IDC-Header_2x06_P2.54mm_Horizontal,1,Conn_02x06_Odd_Even,C9141
"L1, L2",L_12x12mm_H4.5mm,2,22µH,C2929501
"Q1, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-89-3,16,Q_NMOS_GDS,C2923352
"R1, R10, R11, R12, R13, R14, R15, R16, R2, R3, R4, R5, R6, R7, R8, R9",2010,16,220,C20389
R21,2010,1,2k,C230627
R22,2010,1,540,C137061
R25,2010,1,1.5k,C175071
"R26, R28",2010,2,1k,C144438
R27,2010,1,680,C175071
"U1, U10, U11, U12, U2, U3, U4, U5, U6, U7, U8, U9",POWERDI123-C2_DIO-M,12,AL5809-120P1-7,C531169
"U13, U14, U15, U16",POWERDI123-C2_DIO-M,4,AL5809-20P1-7,C531144
U19,SOT-223-3_TabPin2,1,LM317_SOT-223,C51466
"U21, U22",TO-263-5_TabPin3,2,LM2596S-ADJ,C29781
