Designator,Mid X,Mid Y,Rotation,Layer
D1,330.55,-163.0,0.0,top
D10,326.0,-231.0,0.0,top
D11,274.45,-233.3,0.0,top
D12,223.7,-230.95,0.0,top
D13,325.940001,-238.25,0.0,top
D14,223.940001,-238.25,0.0,top
D15,274.45,-242.45,0.0,top
D16,330.65,-204.6,0.0,top
D17,220.2,-203.15,0.0,top
D18,274.8,-219.25,0.0,top
D19,330.69,-123.0,0.0,top
D2,274.85,-146.4,0.0,top
D20,220.69,-122.5,0.0,top
D21,274.89,-118.4,0.0,top
D22,330.8,-156.5,0.0,top
D23,220.04,-157.5,0.0,top
D24,274.9,-141.4,0.0,top
D3,219.95,-163.05,0.0,top
D4,329.7,-129.25,0.0,top
D5,274.6,-124.9,0.0,top
D6,220.55,-129.05,0.0,top
D7,330.6,-197.0,0.0,top
D8,274.55,-213.9,0.0,top
D9,220.2,-197.05,0.0,top
J1,323.1,-108.27,90.0,bottom
Q1,208.75,-173.75,90.0,top
Q10,206.25,-230.8,0.0,top
Q11,209.4,-187.0,270.0,top
Q12,213.6,-221.1,270.0,top
Q13,225.9,-252.7,90.0,top
Q14,226.8,-208.55,180.0,top
Q15,227.8,-114.4,180.0,top
Q16,226.75,-146.35,270.0,top
Q2,209.2,-139.0,90.0,top
Q3,200.6,-163.0,0.0,top
Q4,201.0,-129.0,0.0,top
Q5,208.8,-152.6,270.0,top
Q6,207.2,-118.0,270.0,top
Q7,209.6,-207.6,90.0,top
Q8,213.6,-240.4,90.0,top
Q9,201.4,-197.0,0.0,top
R1,214.8,-174.2,90.0,top
R10,201.3,-230.4,270.0,top
R11,204.2,-186.6,270.0,top
R12,207.8,-221.0,270.0,top
R13,231.4,-247.2,0.0,top
R14,231.55,-210.85,270.0,top
R15,234.2,-111.8,0.0,top
R16,224.8,-139.65,90.0,top
R2,216.2,-139.4,90.0,top
R3,200.2,-169.4,0.0,top
R4,203.0,-136.6,90.0,top
R5,203.0,-152.2,270.0,top
R6,201.4,-117.6,270.0,top
R7,215.2,-208.0,90.0,top
R8,213.4,-245.7,0.0,top
R9,201.0,-202.2,0.0,top
U1,210.5,-166.5,180.0,top
U10,215.2,-230.8,180.0,top
U11,211.2,-193.4,180.0,top
U12,215.2982,-227.4,180.0,top
U13,224.15,-246.6,0.0,top
U14,219.35,-208.9018,270.0,top
U15,219.2,-115.5982,90.0,top
U16,225.05,-152.45,0.0,top
U2,210.8982,-132.4,180.0,top
U3,210.4518,-163.0,180.0,top
U4,211.0,-129.0,180.0,top
U5,210.5,-159.5,180.0,top
U6,211.0,-125.6,180.0,top
U7,211.2,-200.4,180.0,top
U8,215.2982,-234.2,180.0,top
U9,211.2,-197.0,180.0,top
